Condition,Session,Responses,Subject,Group
Treatment,16,3089,Z18,Amp_Sal
Treatment,17,1734,Z18,Amp_Sal
Treatment,18,566,Z18,Amp_Sal
Treatment,19,465,Z18,Amp_Sal
Treatment,20,249,Z18,Amp_Sal
Treatment,21,199,Z18,Amp_Sal
Extinction,22,748,Z18,Amp_Sal
Extinction,23,411,Z18,Amp_Sal
Extinction,24,329,Z18,Amp_Sal
Extinction,25,194,Z18,Amp_Sal
Extinction,26,135,Z18,Amp_Sal
Extinction,27,74,Z18,Amp_Sal
Extinction,28,105,Z18,Amp_Sal
Extinction,29,32,Z18,Amp_Sal
Extinction,30,58,Z18,Amp_Sal
Extinction,31,141,Z18,Amp_Sal
Reinstatement,32,75,Z18,Amp_Sal
Baseline,1,773,Z22,Amp_Sal
Baseline,2,855,Z22,Amp_Sal
Baseline,3,919,Z22,Amp_Sal
Baseline,4,1089,Z22,Amp_Sal
Baseline,5,1285,Z22,Amp_Sal
Baseline,6,1301,Z22,Amp_Sal
Baseline,7,1342,Z22,Amp_Sal
Baseline,8,1665,Z22,Amp_Sal
Baseline,9,1646,Z22,Amp_Sal
Baseline,10,1763,Z22,Amp_Sal
Baseline,11,2060,Z22,Amp_Sal
Baseline,12,1937,Z22,Amp_Sal
Baseline,13,1795,Z22,Amp_Sal
Baseline,14,1698,Z22,Amp_Sal
Treatment,15,1420,Z22,Amp_Sal
Treatment,16,1009,Z22,Amp_Sal
Treatment,17,641,Z22,Amp_Sal
Treatment,18,625,Z22,Amp_Sal
Treatment,19,644,Z22,Amp_Sal
Treatment,20,1066,Z22,Amp_Sal
Treatment,21,523,Z22,Amp_Sal
Extinction,22,167,Z22,Amp_Sal
Extinction,23,98,Z22,Amp_Sal
Extinction,24,123,Z22,Amp_Sal
Extinction,25,79,Z22,Amp_Sal
Extinction,26,59,Z22,Amp_Sal
Extinction,27,52,Z22,Amp_Sal
Extinction,28,37,Z22,Amp_Sal
Extinction,29,42,Z22,Amp_Sal
