Subject,Session,Group,Reinf,Condition,Rate
9,13,ABC,Rich,Baseline,88.13333
9,14,ABC,Rich,Baseline,90.86667
9,15,ABC,Rich,Baseline,87.53333
9,16,ABC,Rich,Baseline,95
9,17,ABC,Rich,Baseline,97.86667
9,18,ABC,Rich,Baseline,96.4
9,19,ABC,Rich,Baseline,91.6
9,20,ABC,Rich,Baseline,88.2
9,21,ABC,Rich,Extinction,91.79333
9,22,ABC,Rich,Extinction,30.73333
9,23,ABC,Rich,Extinction,22.06667
9,24,ABC,Rich,Extinction,11.86667
9,25,ABC,Rich,Extinction,1.666667
9,26,ABC,Rich,Extinction,5.2
9,27,ABC,Rich,Extinction,5.733333
9,28,ABC,Rich,Renewal,59.4
9,1,ABC,Lean,Baseline,53
9,2,ABC,Lean,Baseline,69.13333
9,3,ABC,Lean,Baseline,69.93333
9,4,ABC,Lean,Baseline,50.06667
9,5,ABC,Lean,Baseline,74.26667
9,6,ABC,Lean,Baseline,80.46667
9,7,ABC,Lean,Baseline,75.93333
9,8,ABC,Lean,Baseline,68.33334
9,9,ABC,Lean,Baseline,71
9,10,ABC,Lean,Baseline,58.13334
9,11,ABC,Lean,Baseline,75.86667
9,12,ABC,Lean,Baseline,71.06667
9,13,ABC,Lean,Baseline,74.06667
9,14,ABC,Lean,Baseline,65.86667
9,15,ABC,Lean,Baseline,72
9,16,ABC,Lean,Baseline,64.6
9,17,ABC,Lean,Baseline,74.2
9,18,ABC,Lean,Baseline,80
9,19,ABC,Lean,Baseline,77.06667
9,20,ABC,Lean,Baseline,69.6
9,21,ABC,Lean,Extinction,72.43333
9,22,ABC,Lean,Extinction,48.13334
9,23,ABC,Lean,Extinction,29.46667
9,24,ABC,Lean,Extinction,18.6
9,25,ABC,Lean,Extinction,6.6
9,26,ABC,Lean,Extinction,5.266667
9,27,ABC,Lean,Extinction,7.266667
9,28,ABC,Lean,Renewal,12.26667
10,1,ABC,Rich,Baseline,106.7333
10,2,ABC,Rich,Baseline,112.1333
10,3,ABC,Rich,Baseline,102
10,4,ABC,Rich,Baseline,102.3333
10,5,ABC,Rich,Baseline,97
10,6,ABC,Rich,Baseline,111.1333
10,7,ABC,Rich,Baseline,114.2
10,8,ABC,Rich,Baseline,97.26667
10,9,ABC,Rich,Baseline,112.0667
10,10,ABC,Rich,Baseline,96.93333
10,11,ABC,Rich,Baseline,100.2667
10,12,ABC,Rich,Baseline,92.8
10,13,ABC,Rich,Baseline,101.1333
10,14,ABC,Rich,Baseline,83.13333
10,15,ABC,Rich,Baseline,96.2
10,16,ABC,Rich,Baseline,91.6
10,17,ABC,Rich,Baseline,101.0667
10,18,ABC,Rich,Baseline,69.66666
10,19,ABC,Rich,Baseline,90.6
10,20,ABC,Rich,Baseline,96.93333
10,21,ABC,Rich,Extinction,92.34
10,22,ABC,Rich,Extinction,12.93333
10,23,ABC,Rich,Extinction,0.4
10,24,ABC,Rich,Extinction,1.4
10,25,ABC,Rich,Extinction,0.8666667
10,26,ABC,Rich,Extinction,0
10,27,ABC,Rich,Extinction,1.6
10,28,ABC,Rich,Renewal,35.8
10,1,ABC,Lean,Baseline,53.4
10,2,ABC,Lean,Baseline,52.4
10,3,ABC,Lean,Baseline,50.46667
10,4,ABC,Lean,Baseline,52.06667
10,5,ABC,Lean,Baseline,44
10,6,ABC,Lean,Baseline,51.6
10,7,ABC,Lean,Baseline,52.33333
10,8,ABC,Lean,Baseline,40.13334
10,9,ABC,Lean,Baseline,43.4
10,10,ABC,Lean,Baseline,45.73333
10,11,ABC,Lean,Baseline,45.8
10,12,ABC,Lean,Baseline,47.86666
10,13,ABC,Lean,Baseline,50.73333
10,14,ABC,Lean,Baseline,51.73333
10,15,ABC,Lean,Baseline,54.93333
10,16,ABC,Lean,Baseline,50.26667
10,17,ABC,Lean,Baseline,55.8
10,18,ABC,Lean,Baseline,53.13334
10,19,ABC,Lean,Baseline,53.86666
10,20,ABC,Lean,Baseline,49.8
10,21,ABC,Lean,Extinction,51.39333
10,22,ABC,Lean,Extinction,8.933333
10,23,ABC,Lean,Extinction,2.4
10,24,ABC,Lean,Extinction,3.133333
