Condition,Session,Responses,Subject,Group,Junk Col
Baseline,4,2200,Z18,Amp_Sal,junk389
Baseline,5,1920,Z18,Amp_Sal,junk390
Baseline,6,2279,Z18,Amp_Sal,junk391
Baseline,7,2678,Z18,Amp_Sal,junk392
Baseline,8,2903,Z18,Amp_Sal,junk393
Baseline,9,2817,Z18,Amp_Sal,junk394
Baseline,10,2793,Z18,Amp_Sal,junk395
Baseline,11,3034,Z18,Amp_Sal,junk396
Baseline,12,3210,Z18,Amp_Sal,junk397
Baseline,13,3340,Z18,Amp_Sal,junk398
Baseline,14,3079,Z18,Amp_Sal,junk399
Treatment,15,3809,Z18,Amp_Sal,junk400
Treatment,16,3089,Z18,Amp_Sal,junk401
Treatment,17,1734,Z18,Amp_Sal,junk402
Treatment,18,566,Z18,Amp_Sal,junk403
Treatment,19,465,Z18,Amp_Sal,junk404
Treatment,20,249,Z18,Amp_Sal,junk405
Treatment,21,199,Z18,Amp_Sal,junk406
Extinction,22,748,Z18,Amp_Sal,junk407
Extinction,23,411,Z18,Amp_Sal,junk408
Extinction,24,329,Z18,Amp_Sal,junk409
Extinction,25,194,Z18,Amp_Sal,junk410
Extinction,26,135,Z18,Amp_Sal,junk411
Extinction,27,74,Z18,Amp_Sal,junk412
Extinction,28,105,Z18,Amp_Sal,junk413
Extinction,29,32,Z18,Amp_Sal,junk414
Extinction,30,58,Z18,Amp_Sal,junk415
Extinction,31,141,Z18,Amp_Sal,junk416
Reinstatement,32,75,Z18,Amp_Sal,junk417
Baseline,1,773,Z22,Amp_Sal,junk418
Baseline,2,855,Z22,Amp_Sal,junk419
Baseline,3,919,Z22,Amp_Sal,junk420
Baseline,4,1089,Z22,Amp_Sal,junk421
Baseline,5,1285,Z22,Amp_Sal,junk422
Baseline,6,1301,Z22,Amp_Sal,junk423
Baseline,7,1342,Z22,Amp_Sal,junk424
Baseline,8,1665,Z22,Amp_Sal,junk425
Baseline,9,1646,Z22,Amp_Sal,junk426
Baseline,10,1763,Z22,Amp_Sal,junk427
Baseline,11,2060,Z22,Amp_Sal,junk428
Baseline,12,1937,Z22,Amp_Sal,junk429
Baseline,13,1795,Z22,Amp_Sal,junk430
Baseline,14,1698,Z22,Amp_Sal,junk431
Treatment,15,1420,Z22,Amp_Sal,junk432
Treatment,16,1009,Z22,Amp_Sal,junk433
Treatment,17,641,Z22,Amp_Sal,junk434
Treatment,18,625,Z22,Amp_Sal,junk435
Treatment,19,644,Z22,Amp_Sal,junk436
Treatment,20,1066,Z22,Amp_Sal,junk437
Treatment,21,523,Z22,Amp_Sal,junk438
Extinction,22,167,Z22,Amp_Sal,junk439
Extinction,23,98,Z22,Amp_Sal,junk440
Extinction,24,123,Z22,Amp_Sal,junk441
Extinction,25,79,Z22,Amp_Sal,junk442
Extinction,26,59,Z22,Amp_Sal,junk443
Extinction,27,52,Z22,Amp_Sal,junk444
Extinction,28,37,Z22,Amp_Sal,junk445
Extinction,29,42,Z22,Amp_Sal,junk446
Extinction,30,20,Z22,Amp_Sal,junk447
Extinction,31,19,Z22,Amp_Sal,junk448
Reinstatement,32,53,Z22,Amp_Sal,junk449
Baseline,1,707,Z6,Sal_Amp,junk450
Baseline,2,719,Z6,Sal_Amp,junk451
Baseline,3,757,Z6,Sal_Amp,junk452
Baseline,4,891,Z6,Sal_Amp,junk453
Baseline,5,742,Z6,Sal_Amp,junk454
Baseline,6,1074,Z6,Sal_Amp,junk455
Baseline,7,891,Z6,Sal_Amp,junk456
Baseline,8,1029,Z6,Sal_Amp,junk457
Baseline,9,1094,Z6,Sal_Amp,junk458
Baseline,10,1652,Z6,Sal_Amp,junk459
Baseline,11,1471,Z6,Sal_Amp,junk460
Baseline,12,1440,Z6,Sal_Amp,junk461
Baseline,13,1241,Z6,Sal_Amp,junk462
Baseline,14,1832,Z6,Sal_Amp,junk463
Treatment,15,1525,Z6,Sal_Amp,junk464
Treatment,16,1319,Z6,Sal_Amp,junk465
Treatment,17,1286,Z6,Sal_Amp,junk466
Treatment,18,865,Z6,Sal_Amp,junk467
Treatment,19,546,Z6,Sal_Amp,junk468
Treatment,20,651,Z6,Sal_Amp,junk469
Treatment,21,1024,Z6,Sal_Amp,junk470
Extinction,22,483,Z6,Sal_Amp,junk471
Extinction,23,223,Z6,Sal_Amp,junk472
Extinction,24,88,Z6,Sal_Amp,junk473
Extinction,25,86,Z6,Sal_Amp,junk474
Extinction,26,49,Z6,Sal_Amp,junk475
Extinction,27,78,Z6,Sal_Amp,junk476
Extinction,28,38,Z6,Sal_Amp,junk477
Extinction,29,101,Z6,Sal_Amp,junk478
Extinction,30,27,Z6,Sal_Amp,junk479
Extinction,31,33,Z6,Sal_Amp,junk480
Reinstatement,32,384,Z6,Sal_Amp,junk481
Baseline,1,538,Z8,Sal_Amp,junk482
Baseline,2,813,Z8,Sal_Amp,junk483
Baseline,3,1065,Z8,Sal_Amp,junk484
Baseline,4,1187,Z8,Sal_Amp,junk485
Baseline,5,1219,Z8,Sal_Amp,junk486
Baseline,6,1857,Z8,Sal_Amp,junk487
Baseline,7,1981,Z8,Sal_Amp,junk488
Baseline,8,2027,Z8,Sal_Amp,junk489
Baseline,9,2210,Z8,Sal_Amp,junk490
Baseline,10,1833,Z8,Sal_Amp,junk491
Baseline,11,2174,Z8,Sal_Amp,junk492
Baseline,12,2250,Z8,Sal_Amp,junk493
Baseline,13,2353,Z8,Sal_Amp,junk494
Baseline,14,2444,Z8,Sal_Amp,junk495
Treatment,15,2297,Z8,Sal_Amp,junk496
Treatment,16,2986,Z8,Sal_Amp,junk497
Treatment,17,2215,Z8,Sal_Amp,junk498
Treatment,18,1702,Z8,Sal_Amp,junk499
Treatment,19,1250,Z8,Sal_Amp,junk500
Treatment,20,833,Z8,Sal_Amp,junk501
Treatment,21,669,Z8,Sal_Amp,junk502
Extinction,22,735,Z8,Sal_Amp,junk503
Extinction,23,583,Z8,Sal_Amp,junk504
Extinction,24,207,Z8,Sal_Amp,junk505
Extinction,25,43,Z8,Sal_Amp,junk506
Extinction,26,42,Z8,Sal_Amp,junk507
Extinction,27,56,Z8,Sal_Amp,junk508
Extinction,28,33,Z8,Sal_Amp,junk509
Extinction,29,28,Z8,Sal_Amp,junk510
Extinction,30,26,Z8,Sal_Amp,junk511
Extinction,31,21,Z8,Sal_Amp,junk512
